datalen_bytes,pub_count,sub_count,best_effort,multicast,durability,mean_latency_us,mean_total_throughput_mbps,mean_sample_rate,samples_received,samples_lost
100,1,1,True,False,0,1056.054807839544,115.57023593466424,144462.33938294012,79927952.0,19489227.0
100,1,1,True,False,1,1055.080783316428,112.95234782608696,141188.64347826087,81534993.0,17910327.0
100,1,1,True,False,2,1021.4959842999158,112.49044368600681,140609.56313993174,82732570.0,16616807.0
100,1,1,True,False,3,1055.2325582822011,113.14956217162873,141435.0928196147,80981836.0,18356108.0
100,1,1,False,True,0,76.32665734480051,69.62962962962963,87036.06734006734,51859290.0,0.0
100,1,1,False,True,1,79.78541442160838,68.79478114478115,85993.91414141415,51260260.0,0.0
100,1,1,False,True,2,72.08988500855945,68.3486531986532,85436.54040404041,50899346.0,0.0
100,1,1,False,True,3,71.96199769899793,67.12020202020203,83898.49663299663,49992489.0,0.0
100,1,1,False,False,0,113.53524620381955,91.8597643097643,114822.78787878787,68445499.0,0.0
100,1,1,False,False,1,133.62599156990262,90.31784511784511,112898.33164983166,67293267.0,0.0
100,1,1,False,False,2,131.23427934468546,90.93058823529411,113663.03865546218,67740910.0,0.0
100,1,1,False,False,3,132.7376316578337,91.61801346801346,114521.07912457912,68268290.0,0.0
100,1,25,True,True,0,2569.4904528598877,1493.5963025210083,1866981.5462184874,1114610180.0,437067759.0
100,1,25,True,True,1,3618.5208670742322,1535.4870588235294,1919346.1915966386,1145071070.0,417596873.0
100,1,25,True,True,2,2621.48841527349,1505.455630252101,1881807.87394958,1122720750.0,417074634.0
100,1,25,True,True,3,2803.1742252545573,1528.7994957983192,1910981.356302521,1139762827.0,435161379.0
100,1,25,True,False,0,213.73562654901,245.00638655462183,306275.29075630254,182563481.0,7.0
100,1,25,True,False,1,238.43805360306303,233.49478991596638,291860.9680672269,174047369.0,0.0
100,1,25,True,False,2,256.4072383119857,240.26588235294113,300352.29915966385,179155173.0,0.0
100,1,25,True,False,3,239.49431492384934,238.46134453781514,298083.4924369748,177818617.0,0.0
100,1,25,False,True,0,371.1992421321754,657.3556302521008,821698.2453781513,490221147.0,0.0
100,1,25,False,True,1,366.6528064057859,645.4726050420168,806803.4420168067,481184743.0,0.0
100,1,25,False,True,2,381.4039706715241,653.5127731092438,816901.4890756302,486918078.0,0.0
100,1,25,False,True,3,365.36345491486566,651.6208403361345,814529.4655462184,485922356.0,0.0
100,1,25,False,False,0,1928.43636821831,185.2783193277311,231592.32100840335,138188274.0,0.0
100,1,25,False,False,1,1867.9917063733744,186.19546218487395,232734.15294117646,138757761.0,0.0
